datetime,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_moisture_0_to_1cm
2024-01-01 00:00:00,4.1,83,0.0,0.0,0.0,0.0,2,1013.0,963.4,55,50,9,0,24140.0,8.0,234,18.4,3.9,0.302
2024-01-01 01:00:00,3.7,87,0.0,0.0,0.0,0.0,1,1014.5,964.8,31,31,0,0,24140.0,4.7,176,13.3,2.1,0.324
2024-01-01 02:00:00,3.6,85,0.0,0.0,0.0,0.0,2,1014.0,964.3,64,25,47,0,24140.0,6.4,164,14.0,2.2,0.322
2024-01-01 03:00:00,3.9,81,0.0,0.0,0.0,0.0,3,1014.0,964.4,100,81,100,0,24140.0,5.4,217,14.0,2.4,0.321
2024-01-01 04:00:00,3.8,85,0.8,0.6,0.0,0.0,61,1014.5,964.8,100,100,100,0,24140.0,4.6,309,18.4,2.9,0.321
2024-01-01 05:00:00,3.7,86,0.9,0.9,0.0,0.0,80,1014.7,965.0,82,40,66,0,24140.0,7.2,198,15.1,2.6,0.328
2024-01-01 06:00:00,3.5,84,0.0,0.0,0.0,0.0,3,1015.0,965.2,93,86,86,1,24140.0,7.3,200,16.2,2.7,0.322
2024-01-01 07:00:00,3.9,88,0.0,0.0,0.0,0.0,3,1015.5,965.8,93,52,82,0,24140.0,5.1,184,16.6,2.8,0.321
2024-01-01 08:00:00,4.0,85,0.1,0.0,0.0,0.0,80,1015.5,965.8,97,22,92,33,24140.0,7.0,192,16.6,3.0,0.32
2024-01-01 09:00:00,3.8,83,0.0,0.0,0.0,0.0,3,1015.6,965.9,82,7,79,20,24140.0,7.5,215,16.2,2.9,0.318
2024-01-01 10:00:00,5.2,78,0.0,0.0,0.0,0.0,3,1015.8,966.3,76,29,29,48,24140.0,12.3,232,25.2,5.4,0.318
2024-01-01 11:00:00,6.4,71,0.0,0.0,0.0,0.0,2,1016.0,966.7,49,24,0,31,24140.0,13.4,243,28.8,6.8,0.316
2024-01-01 12:00:00,7.2,68,0.0,0.0,0.0,0.0,2,1015.4,966.3,48,0,48,0,24140.0,13.1,249,28.8,8.0,0.314
2024-01-01 13:00:00,7.6,67,0.0,0.0,0.0,0.0,2,1016.2,967.1,100,25,100,100,24140.0,12.3,249,32.8,8.2,0.312
2024-01-01 14:00:00,7.6,66,0.0,0.0,0.0,0.0,3,1015.4,966.3,98,81,96,13,24140.0,13.9,245,31.7,7.7,0.311
2024-01-01 15:00:00,7.4,66,0.0,0.0,0.0,0.0,3,1015.2,966.1,92,38,77,31,24140.0,12.2,246,30.2,7.1,0.31
2024-01-01 16:00:00,6.8,70,0.0,0.0,0.0,0.0,3,1015.6,966.4,74,0,74,0,24140.0,8.4,239,26.3,5.9,0.31
2024-01-01 17:00:00,5.8,77,0.0,0.0,0.0,0.0,2,1016.1,966.7,76,0,77,33,24140.0,5.6,220,18.0,4.2,0.31
2024-01-01 18:00:00,5.2,79,0.0,0.0,0.0,0.0,3,1016.9,967.3,100,0,70,100,24140.0,5.1,184,13.0,3.2,0.31
2024-01-01 19:00:00,4.5,83,0.0,0.0,0.0,0.0,3,1018.1,968.4,64,0,64,0,24140.0,6.4,164,13.0,2.9,0.31
2024-01-01 20:00:00,4.1,84,0.0,0.0,0.0,0.0,3,1017.3,967.5,100,0,0,100,24140.0,7.2,153,15.5,2.6,0.31
2024-01-01 21:00:00,3.9,86,0.0,0.0,0.0,0.0,3,1017.0,967.2,100,0,63,100,24140.0,6.3,149,15.5,2.4,0.31
2024-01-01 22:00:00,3.8,85,0.0,0.0,0.0,0.0,3,1016.9,967.1,98,42,82,86,24140.0,5.8,158,14.0,2.4,0.31
2024-01-01 23:00:00,3.8,85,0.0,0.0,0.0,0.0,3,1015.7,966.0,100,0,100,100,24140.0,6.0,147,13.3,2.2,0.309
2024-01-02 00:00:00,3.9,87,0.0,0.0,0.0,0.0,3,1015.8,966.1,100,0,92,100,24140.0,4.9,144,12.6,1.8,0.309
2024-01-02 01:00:00,3.1,87,0.0,0.0,0.0,0.0,3,1015.8,965.9,100,0,49,100,24140.0,6.4,137,14.0,1.7,0.309
2024-01-02 02:00:00,3.4,81,0.0,0.0,0.0,0.0,3,1014.9,965.1,100,0,82,100,24140.0,7.1,150,17.3,2.0,0.309
2024-01-02 03:00:00,3.6,77,0.0,0.0,0.0,0.0,3,1013.8,964.1,100,0,100,100,24140.0,7.3,147,16.9,2.5,0.309
2024-01-02 04:00:00,4.4,74,0.0,0.0,0.0,0.0,3,1013.5,964.0,100,0,100,100,24140.0,6.5,146,15.5,3.4,0.299
2024-01-02 05:00:00,4.6,71,0.0,0.0,0.0,0.0,3,1011.9,962.5,100,49,100,100,24140.0,7.9,141,16.9,3.7,0.3
2024-01-02 06:00:00,5.0,70,0.0,0.0,0.0,0.0,3,1011.7,962.4,100,50,95,100,24140.0,6.2,159,16.9,3.8,0.3
2024-01-02 07:00:00,5.6,65,0.0,0.0,0.0,0.0,3,1010.8,961.6,100,48,96,100,24140.0,7.6,188,25.6,4.2,0.299
2024-01-02 08:00:00,5.9,69,0.0,0.0,0.0,0.0,3,1010.3,961.2,100,89,98,100,19900.0,11.2,225,25.6,4.9,0.299
2024-01-02 09:00:00,6.0,74,0.0,0.0,0.0,0.0,61,1010.0,960.9,100,61,96,100,24140.0,12.5,237,26.6,5.1,0.3
2024-01-02 10:00:00,6.7,74,0.3,0.3,0.0,0.0,61,1011.1,962.1,100,30,95,100,20240.0,16.2,238,39.6,6.4,0.3
2024-01-02 11:00:00,7.6,73,0.0,0.0,0.0,0.0,3,1010.7,961.9,100,44,98,94,24140.0,20.4,234,43.9,7.3,0.3
2024-01-02 12:00:00,8.3,72,0.0,0.0,0.0,0.0,3,1009.7,961.0,100,45,100,100,24140.0,19.8,237,45.7,7.8,0.299
2024-01-02 13:00:00,8.7,72,0.0,0.0,0.0,0.0,3,1008.4,959.9,100,44,88,100,24140.0,13.6,233,42.5,8.4,0.299
2024-01-02 14:00:00,8.8,73,0.1,0.1,0.0,0.0,61,1007.9,959.4,100,59,100,100,24140.0,18.7,242,40.3,8.1,0.301
2024-01-02 15:00:00,8.9,72,0.3,0.3,0.0,0.0,61,1007.1,958.7,100,59,100,100,24140.0,21.6,237,47.5,8.0,0.306
