datetime,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2024-01-01 00:00:00,3.3,82,0.0,0.0,0.0,0.0,0,1013.1,963.4,0,0,0,0,13.2,235,29.2,1.3,0.403
2024-01-01 01:00:00,3.6,80,0.0,0.0,0.0,0.0,1,1013.1,963.5,47,0,0,47,14.4,238,32.0,1.4,0.402
2024-01-01 02:00:00,2.9,83,0.0,0.0,0.0,0.0,3,1013.8,964.0,93,0,91,92,9.7,228,23.8,2.6,0.399
2024-01-01 03:00:00,4.0,75,0.0,0.0,0.0,0.0,3,1013.7,964.1,98,0,98,0,14.0,241,29.9,2.4,0.398
2024-01-01 04:00:00,4.3,75,0.0,0.0,0.0,0.0,1,1014.2,964.6,47,4,45,0,17.5,251,36.7,2.4,0.397
2024-01-01 05:00:00,4.0,79,0.2,0.2,0.0,0.0,51,1014.3,964.7,36,14,34,0,18.2,245,38.9,2.5,0.397
2024-01-01 06:00:00,4.0,77,0.0,0.0,0.0,0.0,1,1014.3,964.7,20,3,19,0,17.1,240,38.5,2.5,0.396
2024-01-01 07:00:00,4.1,75,0.0,0.0,0.0,0.0,0,1014.6,965.0,2,1,2,0,18.1,235,38.2,2.5,0.395
2024-01-01 08:00:00,3.8,74,0.0,0.0,0.0,0.0,1,1015.2,965.5,42,0,4,39,15.9,232,38.2,2.4,0.394
2024-01-01 09:00:00,4.2,72,0.0,0.0,0.0,0.0,3,1015.7,966.0,100,0,4,100,14.5,228,34.2,2.4,0.393
2024-01-01 10:00:00,5.4,69,0.0,0.0,0.0,0.0,3,1015.8,966.3,100,0,17,99,13.7,225,31.7,3.0,0.392
2024-01-01 11:00:00,6.5,63,0.0,0.0,0.0,0.0,3,1016.0,966.7,97,0,2,97,11.0,218,30.2,3.8,0.391
2024-01-01 12:00:00,7.4,63,0.0,0.0,0.0,0.0,3,1015.6,966.5,99,0,38,98,9.9,213,24.8,4.8,0.39
2024-01-01 13:00:00,7.9,61,0.0,0.0,0.0,0.0,3,1015.2,966.2,99,2,29,99,10.0,232,24.1,5.5,0.389
2024-01-01 14:00:00,7.7,63,0.1,0.1,0.0,0.0,51,1015.7,966.6,100,13,99,98,14.6,254,38.2,6.2,0.389
2024-01-01 15:00:00,7.0,70,0.0,0.0,0.0,0.0,3,1015.6,966.4,100,13,97,100,11.5,250,30.2,5.9,0.388
2024-01-01 16:00:00,6.6,72,0.0,0.0,0.0,0.0,3,1015.8,966.5,98,34,93,74,10.8,240,24.8,5.6,0.388
2024-01-01 17:00:00,5.9,76,0.1,0.1,0.0,0.0,51,1016.5,967.1,80,19,77,3,9.6,236,23.4,5.2,0.388
2024-01-01 18:00:00,4.0,85,0.0,0.0,0.0,0.0,2,1017.1,967.3,73,6,50,43,7.2,217,21.6,4.4,0.387
2024-01-01 19:00:00,2.8,87,0.0,0.0,0.0,0.0,3,1017.4,967.4,100,1,4,100,6.4,207,17.3,3.7,0.387
2024-01-01 20:00:00,2.0,89,0.0,0.0,0.0,0.0,3,1017.0,966.9,100,0,0,100,7.1,195,16.2,3.0,0.386
2024-01-01 21:00:00,1.3,91,0.0,0.0,0.0,0.0,3,1017.0,966.8,100,0,10,100,7.2,198,16.2,2.4,0.386
2024-01-01 22:00:00,1.1,94,0.0,0.0,0.0,0.0,3,1016.2,966.0,100,7,48,100,6.1,180,15.8,2.1,0.385
2024-01-01 23:00:00,0.6,97,0.0,0.0,0.0,0.0,3,1015.7,965.4,100,2,0,100,5.8,180,14.0,1.8,0.385
2024-01-02 00:00:00,0.4,100,0.0,0.0,0.0,0.0,3,1015.4,965.1,100,4,5,100,5.4,176,13.7,1.6,0.384
2024-01-02 01:00:00,0.8,99,0.0,0.0,0.0,0.0,3,1014.7,964.5,100,5,92,100,5.8,173,15.8,1.5,0.384
2024-01-02 02:00:00,0.6,94,0.0,0.0,0.0,0.0,3,1014.4,964.2,100,0,98,100,6.1,183,17.3,1.9,0.383
2024-01-02 03:00:00,0.8,93,0.0,0.0,0.0,0.0,3,1013.6,963.4,100,0,100,100,5.2,196,15.8,1.8,0.382
2024-01-02 04:00:00,1.5,92,0.0,0.0,0.0,0.0,3,1013.4,963.4,100,0,100,100,4.3,204,15.1,1.9,0.382
2024-01-02 05:00:00,2.7,82,0.1,0.1,0.0,0.0,51,1012.6,962.8,100,2,100,100,8.3,185,20.2,2.1,0.383
2024-01-02 06:00:00,3.1,78,0.1,0.1,0.0,0.0,51,1011.3,961.7,100,10,100,100,7.7,191,21.6,2.3,0.383
2024-01-02 07:00:00,3.1,80,0.1,0.1,0.0,0.0,51,1010.9,961.3,100,11,100,100,4.8,222,19.4,2.4,0.383
2024-01-02 08:00:00,3.9,77,0.1,0.1,0.0,0.0,51,1011.0,961.5,100,25,100,100,7.6,211,19.1,2.6,0.383
2024-01-02 09:00:00,4.6,76,0.1,0.1,0.0,0.0,51,1010.8,961.4,100,14,100,100,11.4,208,26.6,2.8,0.383
2024-01-02 10:00:00,5.6,75,0.0,0.0,0.0,0.0,3,1010.4,961.2,100,5,100,100,11.2,225,26.6,3.2,0.383
2024-01-02 11:00:00,6.5,76,0.0,0.0,0.0,0.0,3,1010.4,961.4,100,16,100,100,16.6,222,35.6,3.7,0.383
2024-01-02 12:00:00,7.4,74,0.1,0.1,0.0,0.0,51,1009.6,960.8,100,6,100,100,16.1,219,37.8,4.4,0.383
2024-01-02 13:00:00,7.2,75,0.0,0.0,0.0,0.0,3,1008.8,960.0,100,7,100,100,11.7,214,34.9,4.6,0.383
