relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
82.0,13.2,3.3,0,0.17099024409687008,1.814146235118278
80.0,14.4,3.6,0,-0.03437263835564275,2.035150960512507
83.0,9.7,2.9,1,0.4838409208824218,1.154822511250127
75.0,14.0,4.0,0,-0.296698769669744,1.947655700386106
75.0,17.5,4.3,0,-0.5502096055216813,2.6101305105194554
79.0,18.2,4.0,0,-0.3668396128529367,2.7528123353022393
77.0,17.1,4.0,0,-0.3971568503004807,2.5446928542494422
75.0,18.1,4.1,0,-0.5730061814685344,2.7388932238860133
74.0,15.9,3.8,0,-0.45562113356277895,2.332107520576014
72.0,14.5,4.2,0,-0.4991941122518424,2.041475565554844
69.0,13.7,5.4,0,-0.6988655954662127,1.8220618857797513
63.0,11.0,6.5,0,-0.9194480103537986,1.2478979810858444
63.0,9.9,7.4,0,-0.921483673055583,0.9795999091847659
61.0,10.0,7.9,0,-1.0713561500416724,0.9746125030098022
63.0,14.6,7.7,0,-1.2534596997544885,1.8754253230044382
70.0,11.5,7.0,0,-0.6353790701978518,1.2946605340044908
72.0,10.8,6.6,0,-0.4544920075265936,1.1769289325745946
76.0,9.6,5.9,0,-0.1140134237302207,0.974313791234158
85.0,7.2,4.0,1,0.6591556237494012,0.5964094178652758
87.0,6.4,2.8,1,0.9123255302310969,0.5075815788884369
89.0,7.1,2.0,1,1.0345419092008201,0.6862671714727099
91.0,7.2,1.3,1,1.1877728738557125,0.7422337564521235
94.0,6.1,1.1,1,1.4295008118612949,0.5317385894402237
97.0,5.8,0.6,1,1.6435726518505116,0.49494160883763366
100.0,5.4,0.4,1,1.839529228528696,0.42056762730942265
99.0,5.8,0.8,1,1.729380294764479,0.477068958321238
94.0,6.1,0.6,1,1.470590860552872,0.5619571182487137
93.0,5.2,0.8,1,1.4618819030161683,0.377749373457075
92.0,4.3,1.5,1,1.4120828967878876,0.16332309985694615
82.0,8.3,2.7,1,0.5406978318185497,0.8975601713026456
78.0,7.7,3.1,1,0.3425710635075759,0.7682805243986911
80.0,4.8,3.1,1,0.634438937111681,0.19856465983041
77.0,7.6,3.9,1,0.23224392030966734,0.7033776141610796
76.0,11.4,4.6,0,-0.12487708340257274,1.4029078716657175
75.0,11.2,5.6,0,-0.24510148017319783,1.306471666264183
76.0,16.6,6.5,0,-0.6210350954340952,2.2992634115008572
74.0,16.1,7.4,0,-0.7645470159499622,2.15342588043594
75.0,11.7,7.2,0,-0.40928346550581485,1.3070017922796495
81.0,14.8,8.0,0,-0.3709982992618781,1.8441188220634026
84.0,17.8,7.7,0,-0.3891417535784553,2.436948590074806
84.0,15.3,7.6,0,-0.21745459624228905,1.95684520482333
